TPSS  —  Teaching & Practicum Scheduling System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start date,25 เม.ย. 2569,Due date,7 มิ.ย. 2569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Initiation / Planning,,,,,,,,Development,,,,,,,,Testing,,,,,,,,Deployment,,,,,,,,Phase 2 (Future),,,,,,,,Weekend ,,
,,,,,,เมษายน  2026,,,,,,พฤษภาคม  2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,มิถุนายน  2026,,,,,,
,,,,,,25,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7
6.5.2,"      Task8# ตารางฝึกหมุนเวียน, กลุ่มนักศึกษา & คัดลอก Semester (M3-02,04,05,08)",ภูวดล ทองรอง,Not Started,-,จัดตารางฝึกหมุนเวียนและคัดลอกตารางเทอมเก่า,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6,    Sprint 5 - โมดูล 4: ตรวจสอบตารางชน (Conflict Checking) [21 - 26 พ.ค.],ราชันย์ พิพัฒน์,Not Started,ตรวจ Conflict อัตโนมัติ,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6.1,"      Task9# ตรวจจับ Conflict: อาจารย์, ห้อง & กลุ่มนักศึกษา (M4-01,02,03)",ราชันย์ พิพัฒน์,Not Started,-,ระบบตรวจจับตารางชนเบื้องหลัง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6.2,"      Task10# Conflict UI: Dialog, Highlight สีแดง & Full Scan (M4-04,05,06)",ราชันย์ พิพัฒน์,Not Started,-,แจ้งเตือนตารางชนบนหน้าจอ (UI สีแดง),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.6.3,      Task11# แนะนำห้อง/เวลาสำรองอัตโนมัติ (M4-07),ราชันย์ พิพัฒน์,Not Started,-,ระบบแนะนำห้องและเวลาว่างสำรอง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7,    Sprint 6 โมดูล 8: แสดงผลตาราง (Views & Calendar) [22 - 26 พ.ค.],ราชันย์ พิพัฒน์,Not Started,ดูตารางหลายรูปแบบตามบทบาท,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7.1,"      Task12# Weekly Schedule Grid & Switch View (M8-01,02)",ราชันย์ พิพัฒน์,Not Started,-,หน้าตารางสอนแบบรายสัปดาห์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7.2,"      Task13# Personal Schedule & Multi-Period Calendar (M8-03,04)",ราชันย์ พิพัฒน์,Not Started,-,หน้าตารางสอนส่วนตัวอาจารย์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7.3,"      Task14# Print/Export PDF & Color-Coded Chips (M8-05,06)",ราชันย์ พิพัฒน์,Not Started,-,Export เป็น PDF และการใส่สีแยกตาราง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.8,    Sprint 7 - โมดูล 7: ค้นหาและกรองข้อมูล (Search & Filter) [20 - 27 พ.ค.],ภูวดล ทองรอง,Not Started,ค้นหาและกรองข้อมูลตารางได้,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
